 GTOC3  Name	    Epoch       a	     e		i	  w	      Node	    M
  39   2004 UH1     54200   0.9541748   0.39680796   3.71292   120.62228    29.85969   155.2936477
  40   2006 FH36    54200   0.9544687   0.19860000   1.59072   154.77967   280.91015   128.0764061
  41   2002 LY1     54200   0.9550094   0.37931534   2.90910   133.96031   248.23260   338.4972621
  42   2005 UV64    54200   0.9580862   0.11600696   5.41663   313.93026   216.09819    71.1465940
  43   2005 GE60    54200   0.9588639   0.24584744   5.56845   112.69363   229.95590   285.2220831
  44   2004 RO111   54200   0.9611941   0.32883148   5.33444   280.82215   199.44692   164.3568742
  45   1998 HD14    54200   0.9630822   0.31264453   7.80717   260.73453   183.96655   261.9364311
  46   2004 UT1     54200   0.9644067   0.22113792   4.50799   294.22407   211.98171   123.9756016
  47   2003 YG136   54200   0.9689920   0.35504091   2.73520   127.98310    86.54460    81.8322360
  48   2005 QP11    54200   0.9755418   0.17574650   3.95693   119.64718   334.92822   142.4189840
  49   2000 SG344   54200   0.9774002   0.06697124   0.11024   274.92230   192.31139   180.3781477
  50   2002 CQ11    54200   0.9788526   0.42841032   2.45977   272.76681    81.43849   200.8820974
  51   2002 CD      54200   0.9798418   0.17672247   6.87919   331.55652     8.74939   254.4324731
  52   1996 XZ12    50427   0.9799732   0.49926135   5.65852    55.81636   251.74134    72.9065206
  53   1998 XN17    54200   0.9818487   0.20968172   7.24543   226.33101    85.99494   308.1410001
  54   2006 AM4     54200   0.9818736   0.64919100   4.12836   139.66996   123.29217    15.6480498
  55   2001 FR85    54200   0.9826891   0.02793117   5.24394   233.53197   183.09543   194.9601844
  56   2002 VX91    54200   0.9846133   0.20141992   2.33173    78.23357   216.83820   274.8314614
  57   2000 OK8     54200   0.9847498   0.22112979   9.98502   166.12112   304.63783   153.7352685
  58   2006 HR29    54200   0.9852749   0.26346811   9.54116   212.57562   232.80061    87.7117748
  59   2006 SU217   54200   0.9858344   0.17456034   2.64217    38.23562   194.38475   311.7733113
  60   2002 FT6     54200   0.9882602   0.46273082   9.48968   226.68890   188.61530   122.5236582
  61   2006 QQ56    54200   0.9883457   0.04505596   2.79890   330.03731   161.62964    70.0709228
  62   2004 EW      54200   0.9894133   0.27979222   4.66406    55.79267   343.43945   142.6799405
  63   Khufu        54200   0.9894148   0.46856366   9.91863    54.98951   152.50644    71.2602183
  64   2003 WP25    54200   0.9907792   0.12120994   2.52245   224.96577    42.19940   297.5344418
  65   2005 CN61    54200   0.9907967   0.06870481   9.52323   248.33039   146.97133   166.3675529
  66   2003 YN107   54200   0.9927025   0.01393412   4.30184    80.48505   264.84372   217.7923676
  67   2005 UH6     54200   1.0006444   0.63236792   2.64874   200.24778    19.21603   235.9241374
  68   2006 FV35    54200   1.0010847   0.37754605   7.09998   170.85813   179.61929   226.9041918
  69   2000 EE104   54200   1.0047041   0.29345413   5.24196   280.93086    25.96806   266.5400007
  70   2000 PH5     54200   1.0051359   0.23015590   1.60139   278.53077   278.41759   327.3858309
  71   2001 GO2     54200   1.0064333   0.16803052   4.61512   265.29267   193.60694    63.1828205
  72   2001 XX4     54200   1.0065836   0.55673375   0.84697   186.85712   127.00806   159.7164678
  73   2005 TC51    54200   1.0075124   0.30554680   5.66968   288.09442   199.48658    97.8673657
  74   1999 JV6     54200   1.0075874   0.31111687   5.31393   235.56835   124.62191   198.4820189
  75   2000 QX69    54200   1.0104975   0.27149424   4.58184    73.62628   150.52076   265.8465193
  76   2006 JY26    54200   1.0111280   0.08427146   1.42373   277.02812    45.04477   241.3233221
  77   2005 WK4     54200   1.0116893   0.23719672   9.83290    74.39146   138.33302   357.2955237
  78   2002 PN      54200   1.0145050   0.06891430   9.14377   107.45923   309.52590   113.1536664
  79   2005 CN      54200   1.0160246   0.18501785   2.31341   321.30873   308.83895   287.5129436
  80   2000 AG6     54200   1.0176695   0.18993210   2.43499   276.29949   283.11721   318.9700596
  81   2002 TY59    54200   1.0191848   0.23375184   6.61070   259.11368     9.84962   214.0602972
  82   2001 FC58    54200   1.0201136   0.34316691   6.76713   261.06877   174.76709    26.7747460
  83   Asclepius    54200   1.0223202   0.35703111   4.91260   255.18810   180.39166   230.9053982
  84   1998 MW5     54200   1.0228657   0.36267778   6.28735    26.63877    80.47794   320.6303075
  85   2006 BZ147   54200   1.0236560   0.09861161   1.40819    95.17529   140.15053   318.8393785
  86   2006 EK53    53808   1.0251033   0.51704999   2.22140    41.17404     5.21615    67.9974415
  87   2005 BG28    54200   1.0257488   0.22716044   6.13219    80.85145   313.53121   108.3498278
  88   1991 VG      54200   1.0268385   0.04918621   1.44562    24.50924    73.97380   245.9824779
  89   2006 BJ55    54200   1.0270842   0.12824080   5.94186   288.23104   307.70442   323.2412364
  90   2006 DQ14    54200   1.0276275   0.05302857   6.29663   292.38941   155.36066    89.7995830
  91   2006 FW33    53821   1.0302366   0.80327705   8.33808   349.34550    13.49756   183.7475318
  92   2002 RS129   54200   1.0311837   0.32895355   8.44276   246.98177   339.00692   220.7092649
  93   2001 CC21    54200   1.0325665   0.21931701   4.80877   179.29542    75.60574   231.6344488
  94   2000 AF205   54200   1.0339259   0.27673625   2.40834   127.26933   220.16324    54.1327783
  95   2001 CB21    54200   1.0347670   0.33365146   7.90340   271.66177   353.86010   240.5059958
  96   2001 GP2     54200   1.0378059   0.07394752   1.27901   111.25934   196.88525   142.9922893
  97   1991 JW      54200   1.0384084   0.11835385   8.72093   301.86269    54.03708   255.3126581
  98   2001 AD2     54200   1.0393562   0.65972685   1.65450   111.06615   211.34163    43.7195481
  99   2006 SG7     54200   1.0427851   0.56104837   4.76000   133.25344     2.33453   111.8799320
 100   2006 SY5     54200   1.0432951   0.15244708   7.56343   175.54676   336.04630    40.3103043
 101   2001 TX1     54200   1.0470510   0.48246959   2.79874   354.02930   159.32271   321.7376165
 102   2001 RB12    54200   1.0518990   0.38130880   6.61497   141.59767   333.31433   343.3547373
 103   2003 MM      54200   1.0531696   0.25621042   8.54111    19.74445   127.72944   279.2228606
 104   1996 FG3     54200   1.0542884   0.34982316   1.99030    23.91208   299.88579   324.6499271
 105   2005 UG5     54200   1.0554579   0.18966714   2.86666   112.03922    35.78771    24.9772368
 106   2002 JD9     52404   1.0556339   0.44049688   6.62426   138.83217   208.47676   292.4444528
 107   2005 XY4     54200   1.0563008   0.59843265   1.90691   143.29953   163.16224   139.3874036
 108   2005 LU3     54200   1.0570624   0.30829536   5.58047    71.77661    80.77844   317.1981038
 109   1999 CG9     54200   1.0606143   0.06251501   5.15795   315.50051   138.84730   211.2047726
 110   2005 YK      54200   1.0611429   0.30763539   5.62187    80.38776   269.68590   131.7596963
 111   2001 QJ142   54200   1.0622514   0.08631514   3.10602    63.83549   184.48645   124.4464309
 112   Castalia     54200   1.0631546   0.48332785   8.88727   121.30415   325.66257   330.3741366
 113   2004 GD      54200   1.0644010   0.30749889   6.22219   280.99671    26.72785   191.2173454
 114   2006 HE2     54200   1.0646155   0.15656928   1.17974    90.08023   200.48697   255.2455945
 115   2003 JC13    54200   1.0659747   0.31508073   8.50584   171.89361   205.93770    82.4081951
 116   2002 JE9     54200   1.0677456   0.41671603   8.82762   255.35021   200.16103   242.9946642
 117   2002 AW      54200   1.0697566   0.25612650   0.56907   118.29220   162.77042   107.2813785
 118   2002 BF25    54200   1.0741513   0.22215920   6.23395    77.43594   306.10315   319.7553187
 119   2002 XQ40    54200   1.0744728   0.35058905   2.17913    72.74243   270.64565    17.1024107
 120   1997 XR2     54200   1.0768851   0.20119085   7.17310    84.55575   250.83926   204.5497089
 121   2005 WC      54200   1.0776112   0.44329930   1.74605   133.55751    31.86884    30.3343547
 122   2001 QE71    54200   1.0776821   0.15846392   3.03659    96.33640   148.60211    78.0191173
 123   Bacchus      54200   1.0780803   0.34953607   9.43429    55.20031    33.17230     7.2648785
 124   2006 GU2     54200   1.0803480   0.25631038   3.38025   266.16714   197.18848    26.9925859
 125   2006 CK      54200   1.0826863   0.21429682   5.17308   264.54637   310.98309   317.6537710
 126   2005 EY95    54200   1.0834122   0.53844388   3.16940   341.91012    73.09689     4.8238963
 127   2001 TE2     54200   1.0836375   0.19690920   7.60965    35.69412   171.30780   127.4288695
 128   2006 LH      53890   1.0847903   0.31604449   7.81951   264.62857    95.33561   290.2705427
 129   2004 JN1     54200   1.0853701   0.17556003   1.49675     1.92689   144.04411   270.3576509
 130   1998 SH36    54200   1.0878859   0.57093192   2.12941   278.56258   218.10130   120.6491360
 131   2005 CD69    54200   1.0884135   0.18756634   2.78191   264.43670   336.61216   246.4800692
 132   2001 WT1     54200   1.0886769   0.39699185   7.15820   180.45066    74.03236    53.3923001
 133   1998 FH12    54200   1.0913606   0.53979829   3.55846   284.39190   108.69104    63.1123787
 134   2001 FD58    54200   1.0920485   0.57527056   6.50170    45.86707   341.31050   222.1577200
 135   2006 AN      54200   1.0934731   0.21999476   7.40390   273.42998   277.72573   333.2696155
 136   1997 YM9     54200   1.0953326   0.10361643   7.84208    51.60205    94.82634   359.0655644
 137   2003 UX34    54200   1.0953726   0.61584396   2.56686   218.14782     4.68824   137.4209641
 138   2006 CT      54200   1.0975637   0.23090015   2.73548    82.61744   285.70653   121.0512446
 139   1999 SH10    54200   1.0976168   0.12987539   9.55702   118.75966   178.64789   252.1744405
 140   2004 FM32    54200   1.0984144   0.16200779   3.76120   298.27291   184.51438   277.7685811
